순번,충전소 관리번호,충전소 명,전화번호,도로명 주소,지번 주소,충전소 유형코드,충전소 유형명,충전소유형비고,충전가능차량코드,충전가능차량,판매가격,이용가능요일,월요일 시작,월요일 종료,화요일 시작,화요일종료,수요일 시작,수요일 종료,목요일 시작,목요일 종료,금요일 시작,금요일 종료,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,휴식 시간,휴식 종료,경도,위도
1,2920020121HS2014001,광주 진곡수소충전소,062-960-9580,광주광역시 광산구 동곡로 326,광주광역시 광산구 복룡동 94-28,1,단독,,1,승용,8200,11111010,07:00,19:00,07:00,19:00,09:00,18:00,07:00,19:00,07:00,19:00,,,09:00,18:00,,,,,126.7883581,35.19415399
2,4480020121HS2015001,내포 수소충전소,041-635-1248,충청남도 홍성군 용봉로 234 1동,충청남도 홍성군 홍북읍 신경리 1710 1동,1,단독,,1,승용,8000,11111111,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,,,126.6838861,36.63508739
3,3114020121HS2017001,옥동 수소복합충전소,052-265-5540,울산광역시 남구 남부순환도로 465,울산광역시 남구 옥동 71,2,복합,LPG,1,승용,7000,11111111,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,129.2912722,35.52283439
4,4812120121HS2017002,창원 팔룡수소충전소,055-299-7716,경상남도 창원시 성산구 불모산로 43,경상남도 창원시 의창구 팔용동 210-2,1,단독,,1,승용,8000,11111111,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,06:00,22:00,,,128.6051899,35.25282669
5,2771020121HS2017003,대구 주행시험장수소충전소,053-670-7990,대구광역시 달성군 국가산단서로 201,대구광역시 달성군 구지면,1,단독,,1,승용,8800,11111000,09:00,21:00,09:00,18:00,09:00,21:00,09:00,18:00,09:00,18:00,,,,,,,,,128.4022003,35.64565988
6,2920020121HS2018001,광주 동곡수소충전소,062-941-9534,광주광역시 광산구 진곡산단중앙로 55,광주광역시 광산구 오선동 573,2,복합,CNG,1,승용,8200,11111111,08:00,20:00,08:00,20:00,09:00,18:00,08:00,20:00,08:00,20:00,09:00,18:00,09:00,18:00,09:00,18:00,,,126.7801666,35.1113365
7,3120020121HS2018002,경동 수소복합충전소,052-288-0610,울산광역시 북구 북부순환도로 1165 경동가스충전소,울산광역시 북구 연암동 1263-4 경동가스충전소,2,복합,LPG,1,승용,7000,11111111,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,00:00,,,129.3574959,35.58116713
8,4812320121HS2018003,창원 성주수소충전소,055-286-7715,경남 창원시 마산합포구 현동로 252,경남 창원시 성산구 중앙동 103-1,1,단독,,5,승용/버스,8000,11111111,04:30,23:30,04:30,23:30,04:30,23:30,04:30,23:30,04:30,23:30,04:30,23:30,04:30,23:30,04:30,23:30,,,128.7226331,35.19075755
9,3171020121HS2019001,신일복합충전소,052-225-1500,울산광역시 울주군 온산로 545 덕하 공영차고지 1동,울산광역시 울주군 청량읍 상남리 1171 덕하 공영차고지 1동,2,복합,LPG,1,승용,7000,11111111,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,06:00,20:00,,,129.2183617,35.47163529
10,4155020121HS2019002,H안성휴게소(서울 상행) 수소충전소,031-664-4096,경기도 안성시 경부고속도로 365,경기도 안성시 원곡면 반제리 642-6,2,복합,"LPG,주유소,전기",1,승용,8000,11111111,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,,,127.1315092,37.07792455
